WorkerId,WorkTimeInSeconds,Answer.S1,Answer.S2,Answer.S3,Answer.S4,Answer.S5,Answer.comment
A170AK4GI2S5G1,44,true,true,false,false,true,
A2N0C6CGQXE2NS,71,false,true,true,false,true,
A23AV72MKVTNW2,63,false,true,false,true,true,Simple work.
A22YXDQXUL7ANX,95,false,true,true,true,false,
A2YM7PJ6OSMSR9,73,false,true,true,true,true,
A28V53LZWCL8A3,32,true,false,true,true,true,
A1S88VQY8G8CNC,140,false,false,true,true,false,
A2IBLAKBXPA6PQ,25,true,true,true,true,true,
A1A0AISMRZ2VY4,31,false,true,true,true,true,
A2YPGARAKET7N5,176,true,true,false,false,true,not bad
AATBV6YR0R51U,24,false,false,true,true,true,
A1823B3S2PJMGQ,54,false,true,true,false,true,good
A1X0LKW8471HJD,147,false,true,false,false,true,
A2KZ1NOHO4QFOQ,373,false,true,true,true,true,
A37M4OVE9R80G,53,true,true,true,false,false,SOME THING DIFFERENT
A34CPOHPR0ZR0R,70,false,true,true,false,true,no comments
A275SOA03Z98P7,74,false,false,true,true,false,
AHLADH7JTJRO8,241,false,true,true,true,true,Good task.
ACGF1YHQCI2Z6,32,true,false,true,true,false,
A3QV1H6T7CUNUE,64,true,true,true,true,true,
A32ZZXGYZX209Y,130,false,true,true,true,false,All Circles are yellow
A23XMMNVHAA02V,73,false,true,false,false,true,
AMHZ8D856PO3F,134,false,true,true,true,true,
A997OZ3H2B3Q2,52,false,true,true,false,true,
A1Z22XQTUPTAU9,27,false,false,true,true,true,
A1UYS657H2WSZW,83,false,true,true,false,true,good
A14J86Y1L3RCQ0,149,false,true,true,false,true,
A1WZHQWRROO7A5,65,false,true,true,false,true,
A1XJ3038CPMHX,54,false,false,true,true,false,
A20ZH2NQ4ZXERB,39,true,true,true,true,true,
